 f1 f2 f3 f4 f5 f6 f7 SubcutfatScore
200 45.8041 35.6487 61.0469 37.6844 104.106 35.9221 0.0911797 2.5
201 148.438 17.3925 165.359 16.0351 191.253 11.9556 0.0716047 3
202 138.689 25.7355 156.332 27.0744 185.771 23.0402 0.0782204 3.5
203 90.4548 23.0309 118.734 25.7271 155.795 24.0193 0.0581567 1.5
204 46.5804 42.5641 54.5911 44.5671 92.4578 42.8557 0.104932 1
205 33.7308 32.8652 50.3608 35.9039 88.7802 35.9166 0.163519 2
206 72.98 39.9434 95.7261 44.5693 124.611 46.2466 0.102077 3
207 130.633 38.2975 156.113 41.3449 181.734 38.9356 0.0322644 2.5
208 141.772 28.568 160.265 29.7979 187.963 23.9031 0.0407733 2.5
209 128.22 69.6009 145.314 77.0349 170.134 76.066 0.102903 3
210 150.81 35.4631 174.705 37.7311 201.88 33.2592 0.0847179 3.5
211 87.6147 46.5807 102.096 51.1928 141.573 49.8341 0.018304 1.5
212 160.035 19.4518 183.252 18.5764 210.203 15.7895 0.119291 3.5
213 85.8911 31.3869 107.574 34.8839 160.854 32.2136 0.0699578 3
214 140.719 27.935 159.485 27.1304 189.537 22.4097 0.214252 1.5
215 134.812 23.5978 152.561 26.3312 182.279 23.5918 0.121473 3.5
216 165.685 20.5426 184.194 19.4251 203.982 17.5306 0.0567878 3
217 164.052 20.7329 184.334 17.8867 208.218 15.5043 0.169616 4
218 76.0529 38.3635 90.2594 39.3112 123.368 39.3564 0.0287224 3
219 137.1 30.7739 152.358 31.0345 178.2 20.264 0.12775 3
220 106.56 31.8274 124.17 30.531 158.469 26.8623 0.0515322 2.5
221 50.0037 44.3543 64.4859 44.439 102.5 44.0011 0.0684655 3
222 86.2593 30.9648 107.341 35.8098 147.785 33.6959 0.0545167 1.5
223 119.859 38.6268 133.409 39.1247 162.233 34.977 0.0315917 2
